id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria
232,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,0,0,0,350000,Pereira Feitosa
233,Casa,Venda,São Luís/MA,Cohajap,3,3,4,1800000,Pereira Feitosa
234,Casa,Venda,São Luís/MA,Quintas do Calhau,3,3,2,500000,Pereira Feitosa
235,Casa,Venda,São Luís/MA,Turu,3,2,2,450000,Pereira Feitosa
236,Apartamento,Venda,São Luís/MA,Ponta D Areia,3,0,2,870000,Pereira Feitosa
237,Casa,Venda,São Luís/MA,Vinhais,3,0,3,290000,Pereira Feitosa
238,Apartamento,Venda,São Luís/MA,Ponta D Areia,0,0,2,870000,Pereira Feitosa
239,Casa,Venda,São Luís/MA,Cohafuma,2,1,1,150000,Pereira Feitosa
240,Casa,Venda,São Luís/MA,Madre Deus,2,0,0,85000,Pereira Feitosa
241,Casa,Venda,São Luís/MA,Centro,3,1,1,250000,Pereira Feitosa
242,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,0,0,0,1750000,Pereira Feitosa
243,Casa,Venda,São Luís/MA,Quintas do Calhau,7,7,0,3000000,Pereira Feitosa
244,Casa,Venda,São Luís/MA,Turu,2,2,0,370000,Pereira Feitosa
245,Casa,Venda,São Luís/MA,Calhau,4,4,8,2500000,Pereira Feitosa
246,Apartamento,Venda,São Luís/MA,Calhau,3,3,2,950000,Pereira Feitosa
247,Apartamento,Venda,São Luís/MA,Ponta da areia,2,2,0,1100000,Pereira Feitosa
248,Casa,Venda,São Luís/MA,Chácara Brasil,2,0,2,190000,Pereira Feitosa
249,Casa,Venda,São Luís/MA,Centro,2,0,2,320000,Pereira Feitosa
250,Apartamento,Venda,São Luís/MA,Cohafuma,2,1,0,358000,Pereira Feitosa
251,Casa,Venda,São Luís/MA,Alemanha,2,2,0,160000,Pereira Feitosa
252,Casa,Venda,São Luís/MA,João Paulo,3,1,4,1000000,Pereira Feitosa
253,Apartamento,Venda,São Luís/MA,Calhau,2,1,1,250000,Pereira Feitosa
254,Casa,Venda,São Luís/MA,Olho D Água,4,4,4,1850000,Pereira Feitosa
255,Apartamento,Venda,São Luís/MA,Recanto dos Vinhais,2,1,2,310000,Pereira Feitosa
256,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,2,1,2,320000,Pereira Feitosa
257,Apartamento,Venda,São Luís/MA,Quintas do Calhau,1,0,1,260000,Pereira Feitosa
258,Casa,Venda,São Luís/MA,Quintas do Calhau,4,0,3,1800000,Pereira Feitosa
259,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,3,2,4,230000,Pereira Feitosa
260,Casa,Venda,São Luís/MA,Residencial Pinheiros,1,4,0,580000,Pereira Feitosa
261,Casa,Venda,São Luís/MA,Cohama,3,1,0,380000,Pereira Feitosa
262,Apartamento,Venda,São Luís/MA,São Francisco,3,1,2,320000,Pereira Feitosa
263,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,1,450000,Pereira Feitosa
264,Casa,Venda,São Luís/MA,Olho D Água,8,8,5,14000000,Pereira Feitosa
265,Apartamento,Venda,São Luís/MA,Bequimão,2,0,1,100000,Pereira Feitosa
266,Apartamento,Venda,São Luís/MA,Calhau,2,1,1,290000,Pereira Feitosa
267,Casa,Venda,São Luís/MA,Turu,1,1,2,330000,Pereira Feitosa
268,Casa,Venda,São Luís/MA,João de Deus,2,1,2,250000,Pereira Feitosa
269,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,3,3,0,350000,Pereira Feitosa
270,Casa,Venda,São Luís/MA,Chácara Brasil,3,1,2,310000,Pereira Feitosa
271,Apartamento,Venda,São Luís/MA,Turu,1,1,1,170000,Pereira Feitosa
272,Casa,Venda,São Luís/MA,Centro,3,1,0,250000,Pereira Feitosa
273,Casa,Venda,São Luís/MA,Solar dos Lusitanos,0,0,3,420000,Pereira Feitosa
274,Casa,Venda,São Luís/MA,Cohatrac III,4,2,0,300000,Pereira Feitosa
275,Casa,Venda,São Luís/MA,Cohatrac III,5,0,0,330000,Pereira Feitosa
276,Apartamento,Venda,São Luís/MA,Ponta do Farol,4,3,2,820000,Pereira Feitosa
277,Casa,Venda,São Luís/MA,Olho D Água,3,0,5,800000,Pereira Feitosa
278,Apartamento,Venda,São Luís/MA,Angelim,2,0,1,85000,Pereira Feitosa
279,Casa,Venda,São Luís/MA,Maranhão Novo,3,1,2,350000,Pereira Feitosa
280,Casa,Venda,São Luís/MA,Residencial Esperança,2,0,1,250000,Pereira Feitosa
281,Casa,Venda,São José de Ribamar/MA,Boa Viagem,2,0,0,250000,Pereira Feitosa
282,Apartamento,Venda,São Luís/MA,Calhau,1,1,1,275000,Pereira Feitosa
283,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,3,1,0,1500000,Pereira Feitosa
284,Casa,Venda,São Luís/MA,Alto do Calhau,3,2,2,420000,Pereira Feitosa
285,Casa,Venda,São Luís/MA,Quintas do Calhau,4,3,0,750000,Pereira Feitosa
286,Casa,Venda,São Luís/MA,Parque Shalon,3,1,3,700000,Pereira Feitosa
287,Casa,Venda,São Luís/MA,Fátima,3,0,1,300000,Pereira Feitosa
288,Casa,Venda,Paço do Lumiar/MA,Araçagy,3,1,1,350000,Pereira Feitosa
289,Casa,Venda,São Luís/MA,Vinhais,3,2,2,360000,Pereira Feitosa
290,Apartamento,Venda,São Luís/MA,Ponta D Areia,4,4,4,1500000,Pereira Feitosa
291,Casa,Venda,São Luís/MA,Parque Athenas,3,2,4,470000,Pereira Feitosa
292,Casa,Venda,São José de Ribamar/MA,Parque Vitória,3,0,1,150000,Pereira Feitosa
293,Casa,Venda,São Luís/MA,Turu,3,1,2,550000,Pereira Feitosa
294,Casa,Venda,São Luís/MA,Vinhais,6,6,4,400000,Pereira Feitosa
295,Apartamento,Venda,São Luís/MA,Centro,2,1,0,130000,Pereira Feitosa
296,Casa,Venda,São Luís/MA,Calhau,3,3,6,1500000,Pereira Feitosa
297,Casa,Venda,São Luís/MA,Parque Shalon,3,2,4,510000,Pereira Feitosa
298,Casa,Venda,Paço do Lumiar/MA,Morada Nova,2,2,3,180000,Pereira Feitosa
299,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,2,1,0,350000,Pereira Feitosa
